vehicle_id,vin,model,variant,battery_capacity_kwh,battery_chemistry,motor_power_kw,torque_nm,drive_type,body_type,segment,launch_year,max_ac_charging_kw,max_dc_charging_kw,claimed_range_km,expected_real_world_range_km,kerb_weight_kg,purchase_date,driver_profile,city_registered,city_registered_was_missing
26,MATT2XTVT8S3VV026,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2025-05-19,City Driver,Ahmedabad,False
27,MATT1T706AVY9M027,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2025-08-04,City Driver,Surat,False
28,MATT33Z5Y83ERA028,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-08-21,Highway Driver,Pune,False
29,MATT18P0XHPRNC029,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2025-05-16,City Driver,Hyderabad,False
30,MATT1UP9ADD94D030,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2025-11-13,Long Distance Traveller,Hyderabad,False
31,MATT69J09EKMFE031,Harrier.ev,RWD (75 kWh),75.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,120.0,627,490,1850,2026-09-07,City Driver,Pune,False
32,MATT652HLBURN7032,Harrier.ev,AWD (75 kWh),75.0,LFP,291.0,504,AWD,SUV,Midsize SUV,2025,7.2,120.0,622,460,1950,2026-06-23,City Driver,Bengaluru,False
33,MATT4V2DL6NG8M033,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-06-27,City Driver,Hyderabad,False
34,MATT2E5YH18UFT034,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2025-03-10,Highway Driver,Surat,False
35,MATT3WLPGUJWRF035,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-06-12,City Driver,Delhi NCR,False
36,MATT3HL9298AH4036,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-04-13,City Driver,Hyderabad,False
37,MATT2DHD6DWKNV037,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2025-12-20,Aggressive Driver,Mumbai,False
38,MATT4RVYDRJK77038,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2025-03-04,Conservative Driver,Bengaluru,False
39,MATT1D5F4L0DJ0039,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2024-07-31,Highway Driver,Bengaluru,False
40,MATT1C6ASCRU82040,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2023-10-27,City Driver,Pune,False
41,MATT7MSMRY6054041,Sierra.ev,RWD (63 kWh),63.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2026,7.2,120.0,565,450,1750,2026-08-11,Highway Driver,Chennai,False
42,MATT4S5LR3UY30042,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-08-08,City Driver,Hyderabad,False
43,MATT6P2NL3SVK3043,Harrier.ev,RWD (75 kWh),75.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,120.0,627,490,1850,2026-03-02,Long Distance Traveller,Ahmedabad,False
44,MATT1CGBVU3YLU044,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2026-03-01,Highway Driver,Mumbai,False
45,MATT28THFER8VU045,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2025-03-15,City Driver,Kolkata,False
46,MATT4LC0V66TBW046,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-09-30,Highway Driver,Delhi NCR,False
47,MATT42PGSNMGT3047,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-03-05,City Driver,Hyderabad,False
48,MATT1FHERAP883048,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2026-07-27,City Driver,Bengaluru,False
49,MATT367FPZH936049,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-09-16,City Driver,Delhi NCR,False
50,MATT49ZJP4VGVJ050,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-01-04,Conservative Driver,Mumbai,False
51,MATT4YFUD2L14J051,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2023-10-19,City Driver,Surat,False
52,MATT4LT7HEEVZA052,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-06-30,Highway Driver,Chennai,False
53,MATT266M5520EK053,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2022-08-23,City Driver,Delhi NCR,False
54,MATT2ENXSLMXEH054,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2024-02-09,Highway Driver,Kolkata,False
55,MATT55ARJ94NPY055,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2026-05-20,Conservative Driver,Pune,False
56,MATT4EA83YUJYZ056,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2024-04-10,Highway Driver,Delhi NCR,False
57,MATT4FMX5KLG3B057,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-01-24,City Driver,Hyderabad,False
58,MATT5N9YTJFAAZ058,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2025-07-09,Conservative Driver,Pune,False
59,MATT7HD6BRLS6J059,Sierra.ev,RWD (75 kWh),75.0,LFP,156.0,315,RWD,SUV,Midsize SUV,2026,7.2,120.0,665,520,1800,2026-09-08,Long Distance Traveller,Mumbai,False
60,MATT3ZL75JJ3ZX060,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-05-07,Conservative Driver,Bengaluru,False
61,MATT5PG9UZ8JCX061,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-07-03,Conservative Driver,Kolkata,False
62,MATT5TDXGU99KZ062,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2025-03-06,Conservative Driver,Bengaluru,False
63,MATT3JHFA6PJ7S063,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-06-25,City Driver,Hyderabad,False
64,MATT2CMUZG1GKV064,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2024-10-09,Aggressive Driver,Mumbai,False
65,MATT3PDM5FYBNM065,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-07-27,Aggressive Driver,Kolkata,False
66,MATT5APSV12LXZ066,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2026-04-04,Highway Driver,Mumbai,False
67,MATT4VENW1T9C4067,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-03-30,Conservative Driver,Unknown,True
68,MATT22VL7X4F88068,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2023-07-31,City Driver,Ahmedabad,False
69,MATT65EBKME8U6069,Harrier.ev,RWD (75 kWh),75.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,120.0,627,490,1850,2026-03-23,City Driver,Pune,False
70,MATT4JZ9ZM9JNR070,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-11-13,City Driver,Chennai,False
71,MATT19TLBMLNPM071,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2022-10-21,Aggressive Driver,Chennai,False
72,MATT6AEKR29R54072,Harrier.ev,RWD (75 kWh),75.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,120.0,627,490,1850,2026-06-08,Conservative Driver,Surat,False
73,MATT3U8UFTRB3Y073,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-05-24,City Driver,Surat,False
74,MATT5ZYTCT0HFN074,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-01-27,Highway Driver,Chennai,False
75,MATT5370WJX72U075,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2025-08-04,Long Distance Traveller,Delhi NCR,False
76,MATT1YAG3W4ENR076,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2025-05-21,Long Distance Traveller,Mumbai,False
77,MATT2D3GDY1CEY077,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2021-10-25,Aggressive Driver,Bengaluru,False
78,MATT3ZBD64UFMM078,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-07-07,Conservative Driver,Bengaluru,False
79,MATT24J2S67VA4079,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2024-09-01,Long Distance Traveller,Unknown,True
80,MATT5485M00T7A080,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2026-05-20,City Driver,Bengaluru,False
81,MATT2RFSG3GY1S081,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2023-11-06,Aggressive Driver,Pune,False
82,MATT12FDNGX22L082,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2025-08-30,City Driver,Delhi NCR,False
83,MATT3AZHEK3PVM083,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-06-10,Aggressive Driver,Hyderabad,False
84,MATT47BED3EMC5084,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-05-02,Long Distance Traveller,Bengaluru,False
85,MATT53RTJKJA4B085,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2026-08-09,Highway Driver,Hyderabad,False
86,MATT5YKBK7M73U086,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2025-09-24,City Driver,Ahmedabad,False
87,MATT3UZULM0XU8087,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-09-15,City Driver,Hyderabad,False
88,MATT10VJD4L1R7088,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2024-01-04,Conservative Driver,Mumbai,False
89,MATT1SJ215LN8M089,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2026-02-21,Conservative Driver,Mumbai,False
90,MATT43E9NGN1DK090,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-04-02,City Driver,Delhi NCR,False
91,MATT48A0R5CPGU091,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2024-03-24,Aggressive Driver,Bengaluru,False
92,MATT50XVKJPD30092,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2024-07-22,City Driver,Ahmedabad,False
93,MATT3X2U8KHDAB093,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-04-06,City Driver,Delhi NCR,False
94,MATT3GWBRUT746094,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-09-08,Highway Driver,Ahmedabad,False
95,MATT3SGRSEXJLL095,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-08-30,Aggressive Driver,Chennai,False
96,MATT4E991GAE1U096,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2026-02-19,City Driver,Kolkata,False
97,MATT5GFJTWETMA097,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-07-21,Conservative Driver,Bengaluru,False
98,MATT4WBPG58EEH098,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2024-03-16,City Driver,Mumbai,False
99,MATT4BKTM23N9P099,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-07-21,Highway Driver,Kolkata,False
100,MATT5K4BYPCKXA100,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2025-11-30,City Driver,Ahmedabad,False
101,MATT5URNHMDBB5101,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-08-07,City Driver,Jaipur,False
102,MATT142U3SUW1B102,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2025-11-09,Aggressive Driver,Bengaluru,False
103,MATT1UST5EDN7E103,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2024-10-08,City Driver,Hyderabad,False
104,MATT1ATFUCYZF9104,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2026-04-30,City Driver,Pune,False
105,MATT7T48MVJ3UV105,Sierra.ev,AWD / QWD (75 kWh),75.0,LFP,259.0,504,AWD,SUV,Midsize SUV,2026,7.2,120.0,624,490,1900,2026-06-29,City Driver,Ahmedabad,False
106,MATT44EY7EB01G106,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-08-08,City Driver,Surat,False
107,MATT1XUMT49UN4107,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2025-03-29,Highway Driver,Mumbai,False
108,MATT48UJPH3991108,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2023-08-17,Conservative Driver,Ahmedabad,False
109,MATT1WK0H74EL7109,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2026-01-13,Conservative Driver,Hyderabad,False
110,MATT42HGZJCFLZ110,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2024-12-04,City Driver,Bengaluru,False
111,MATT2RLSRA1JT5111,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2025-10-25,Aggressive Driver,Pune,False
112,MATT3T2SF9161X112,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-09-12,Conservative Driver,Surat,False
113,MATT3R6BSVA4CW113,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-05-01,Highway Driver,Kolkata,False
114,MATT1GGXHTP2KU114,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2024-10-13,Conservative Driver,Mumbai,False
115,MATT4AKENB1VBZ115,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-06-26,City Driver,Surat,False
116,MATT6MBTNY4LS1116,Harrier.ev,RWD (65 kWh),65.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,100.0,538,400,1800,2026-01-20,City Driver,Ahmedabad,False
117,MATT1JKNYCSJHD117,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2024-06-18,Highway Driver,Delhi NCR,False
118,MATT4GCJ88EZ9X118,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2024-07-04,Conservative Driver,Bengaluru,False
119,MATT5WE2NUAB2H119,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2025-05-10,Aggressive Driver,Kolkata,False
120,MATT2MTG464T0J120,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2024-06-10,City Driver,Ahmedabad,False
121,MATT32AZPHSU2Z121,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-06-16,Highway Driver,Mumbai,False
122,MATT3VSM6YEX14122,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-09-17,City Driver,Delhi NCR,False
123,MATT1BYWU8LJ49123,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2025-05-13,Conservative Driver,Pune,False
124,MATT45MPKUJU01124,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-08-30,Highway Driver,Chennai,False
125,MATT3DMGL9YFTN125,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-03-27,City Driver,Bengaluru,False
126,MATT4F6LAPRVZ4126,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2023-12-15,City Driver,Chennai,False
127,MATT18839CL8V5127,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2025-03-07,City Driver,Chennai,False
128,MATT1GGGA0YGY7128,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2023-03-19,City Driver,Bengaluru,False
