vehicle_id,vin,model,variant,battery_capacity_kwh,battery_chemistry,motor_power_kw,torque_nm,drive_type,body_type,segment,launch_year,max_ac_charging_kw,max_dc_charging_kw,claimed_range_km,expected_real_world_range_km,kerb_weight_kg,purchase_date,driver_profile,city_registered
37,MATT2DHD6DWKNV037,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2025-12-20,Aggressive Driver,Mumbai
38,MATT4RVYDRJK77038,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2025-03-04,Conservative Driver,Bengaluru
39,MATT1D5F4L0DJ0039,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2024-07-31,Highway Driver,Bengaluru
40,MATT1C6ASCRU82040,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2023-10-27,City Driver,Pune
41,MATT7MSMRY6054041,Sierra.ev,RWD (63 kWh),63.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2026,7.2,120.0,565,450,1750,2026-08-11,Highway Driver,Chennai
42,MATT4S5LR3UY30042,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-08-08,City Driver,Hyderabad
43,MATT6P2NL3SVK3043,Harrier.ev,RWD (75 kWh),75.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,120.0,627,490,1850,2026-03-02,Long Distance Traveller,Ahmedabad
44,MATT1CGBVU3YLU044,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2026-03-01,Highway Driver,MUMBAI
45,MATT28THFER8VU045,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2025-03-15,City Driver,Kolkata
46,MATT4LC0V66TBW046,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-09-30,Highway Driver,Delhi NCR
47,MATT42PGSNMGT3047,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-03-05,City Driver,Hyderabad
48,MATT1FHERAP883048,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2026-07-27,City Driver,Bengaluru
49,MATT367FPZH936049,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-09-16,City Driver,Delhi NCR
50,MATT49ZJP4VGVJ050,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-01-04,Conservative Driver,Mumbai
51,MATT4YFUD2L14J051,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2023-10-19,City Driver,Surat
52,MATT4LT7HEEVZA052,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-06-30,Highway Driver,Chennai
53,MATT266M5520EK053,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2022-08-23,City Driver,Delhi NCR
54,MATT2ENXSLMXEH054,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2024-02-09,Highway Driver,Kolkata
55,MATT55ARJ94NPY055,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2026-05-20,Conservative Driver,Pune
56,MATT4EA83YUJYZ056,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2024-04-10,Highway Driver,Delhi NCR
57,MATT4FMX5KLG3B057,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-01-24,City Driver,Hyderabad
58,MATT5N9YTJFAAZ058,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2025-07-09,Conservative Driver,Pune
59,MATT7HD6BRLS6J059,Sierra.ev,RWD (75 kWh),75.0,LFP,156.0,315,RWD,SUV,Midsize SUV,2026,7.2,120.0,665,520,1800,2026-09-08,Long Distance Traveller,Mumbai
60,MATT3ZL75JJ3ZX060,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-05-07,Conservative Driver,BLR
61,MATT5PG9UZ8JCX061,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-07-03,Conservative Driver,Kolkata
62,MATT5TDXGU99KZ062,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2025-03-06,Conservative Driver,Bengaluru
63,MATT3JHFA6PJ7S063,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-06-25,City Driver,Hyderabad
64,MATT2CMUZG1GKV064,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2024-10-09,Aggressive Driver,Mumbai
65,MATT3PDM5FYBNM065,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-07-27,Aggressive Driver,Kolkata
66,MATT5APSV12LXZ066,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2026-04-04,Highway Driver,Mumbai
67,MATT4VENW1T9C4067,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-03-30,Conservative Driver,
68,MATT22VL7X4F88068,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2023-07-31,City Driver,Ahmedabad
69,MATT65EBKME8U6069,Harrier.ev,RWD (75 kWh),75.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,120.0,627,490,1850,2026-03-23,City Driver,Pune
70,MATT4JZ9ZM9JNR070,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-11-13,City Driver,Chennai
71,MATT19TLBMLNPM071,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2022-10-21,Aggressive Driver,Chennai
72,MATT6AEKR29R54072,Harrier.ev,RWD (75 kWh),75.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,120.0,627,490,1850,2026-06-08,Conservative Driver,Surat
73,MATT3U8UFTRB3Y073,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-05-24,City Driver,Surat
74,MATT5ZYTCT0HFN074,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-01-27,Highway Driver,Chennai
75,MATT5370WJX72U075,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2025-08-04,Long Distance Traveller,Delhi NCR
76,MATT1YAG3W4ENR076,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2025-05-21,Long Distance Traveller,Mumbai
77,MATT2D3GDY1CEY077,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2021-10-25,Aggressive Driver,Bengaluru
78,MATT3ZBD64UFMM078,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-07-07,Conservative Driver,Bengaluru
79,MATT24J2S67VA4079,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2024-09-01,Long Distance Traveller,
80,MATT5485M00T7A080,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2026-05-20,City Driver,Bengaluru
81,MATT2RFSG3GY1S081,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2023-11-06,Aggressive Driver,Pune
82,MATT12FDNGX22L082,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2025-08-30,City Driver,Delhi NCR
83,MATT3AZHEK3PVM083,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-06-10,Aggressive Driver,Hyderabad
84,MATT47BED3EMC5084,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-05-02,Long Distance Traveller,Bengaluru
85,MATT53RTJKJA4B085,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2026-08-09,Highway Driver,Hyderabad
86,MATT5YKBK7M73U086,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2025-09-24,City Driver,Ahmedabad
87,MATT3UZULM0XU8087,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-09-15,City Driver,Hyderabad
88,MATT10VJD4L1R7088,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2024-01-04,Conservative Driver,Mumbai
89,MATT1SJ215LN8M089,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2026-02-21,Conservative Driver,Mumbai
90,MATT43E9NGN1DK090,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-04-02,City Driver,Delhi NCR
91,MATT48A0R5CPGU091,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2024-03-24,Aggressive Driver,Bengaluru
92,MATT50XVKJPD30092,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2024-07-22,City Driver,Ahmedabad
93,MATT3X2U8KHDAB093,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-04-06,City Driver,New Delhi
94,MATT3GWBRUT746094,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-09-08,Highway Driver,Ahmedabad
95,MATT3SGRSEXJLL095,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-08-30,Aggressive Driver,Chennai
96,MATT4E991GAE1U096,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2026-02-19,City Driver,Kolkata
97,MATT5GFJTWETMA097,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-07-21,Conservative Driver,Bengaluru
98,MATT4WBPG58EEH098,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2024-03-16,City Driver,Mumbai
99,MATT4BKTM23N9P099,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-07-21,Highway Driver,Kolkata
100,MATT5K4BYPCKXA100,Curvv.ev,Accomplished (45 kWh),45.0,LFP,110.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,60.0,502,340,1480,2025-11-30,City Driver,Ahmedabad
101,MATT5URNHMDBB5101,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2026-08-07,City Driver,Jaipur
102,MATT142U3SUW1B102,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2025-11-09,Aggressive Driver,Bengaluru
103,MATT1UST5EDN7E103,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2024-10-08,City Driver,Hyderabad
104,MATT1ATFUCYZF9104,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2026-04-30,City Driver,Pune
105,MATT7T48MVJ3UV105,Sierra.ev,AWD / QWD (75 kWh),75.0,LFP,259.0,504,AWD,SUV,Midsize SUV,2026,7.2,120.0,624,490,1900,2026-06-29,City Driver,Ahmedabad
106,MATT44EY7EB01G106,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-08-08,City Driver,Surat
107,MATT1XUMT49UN4107,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2025-03-29,Highway Driver,Mumbai
108,MATT48UJPH3991108,Nexon.ev,Medium Range (30 kWh),30.0,NMC,95.0,215,FWD,SUV,Compact SUV,2020,7.2,30.0,275,220,1400,2023-08-17,Conservative Driver,Ahmedabad
109,MATT1WK0H74EL7109,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2026-01-13,Conservative Driver,Hyderabad
110,MATT42HGZJCFLZ110,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2024-12-04,City Driver,Bengaluru
111,MATT2RLSRA1JT5111,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2025-10-25,Aggressive Driver,Pune
112,MATT3T2SF9161X112,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-09-12,Conservative Driver,Surat
113,MATT3R6BSVA4CW113,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-05-01,Highway Driver,Kolkata
114,MATT1GGXHTP2KU114,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2024-10-13,Conservative Driver,Mumbai
115,MATT4AKENB1VBZ115,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-06-26,City Driver,Surat
116,MATT6MBTNY4LS1116,Harrier.ev,RWD (65 kWh),65.0,LFP,175.0,315,RWD,SUV,Midsize SUV,2025,7.2,100.0,538,400,1800,2026-01-20,City Driver,Ahmedabad
117,MATT1JKNYCSJHD117,Tiago.ev,Medium Range (XE),19.2,NMC,45.0,110,FWD,Hatchback,A-Segment,2022,3.3,25.0,250,200,1235,2024-06-18,Highway Driver,Delhi NCR
118,MATT4GCJ88EZ9X118,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2024-07-04,Conservative Driver,Bangalore
119,MATT5WE2NUAB2H119,Curvv.ev,Empowered+ A (55 kWh),55.0,LFP,123.0,215,FWD,SUV Coupe,Subcompact Crossover SUV,2024,7.2,70.0,585,410,1530,2025-05-10,Aggressive Driver,Kolkata
120,MATT2MTG464T0J120,Tigor.ev,XZ+ Lux,26.0,NMC,55.0,170,FWD,Sedan,Compact Sedan,2021,7.2,50.0,315,250,1235,2024-06-10,City Driver,Ahmedabad
121,MATT32AZPHSU2Z121,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-06-16,Highway Driver,Bombay
122,MATT3VSM6YEX14122,Punch.ev,Standard Range (30 kWh),30.0,LFP,60.0,114,FWD,SUV,Compact SUV,2026,3.3,30.0,375,280,1360,2026-09-17,City Driver,DELHI NCR
123,MATT1BYWU8LJ49123,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2025-05-13,Conservative Driver,Pune
124,MATT45MPKUJU01124,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2025-08-30,Highway Driver,Chennai
125,MATT3DMGL9YFTN125,Punch.ev,Long Range (40 kWh),40.0,LFP,90.0,190,FWD,SUV,Compact SUV,2026,7.2,50.0,468,345,1360,2026-03-27,City Driver,Bengaluru
126,MATT4F6LAPRVZ4126,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2023-12-15,City Driver,Chennai
127,MATT18839CL8V5127,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2025-03-07,City Driver,Chennai
128,MATT1GGGA0YGY7128,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2023-03-19,City Driver,Bengaluru
129,MATT1MFHUEWRSC129,Tiago.ev,Long Range (XZ+ Tech LR),24.0,NMC,55.0,114,FWD,Hatchback,A-Segment,2022,7.2,25.0,315,250,1255,2023-09-15,Conservative Driver,Chennai
130,MATT42GS9ZN3ZC130,Nexon.ev,Long Range (45 kWh),45.0,NMC,106.0,215,FWD,SUV,Compact SUV,2023,7.2,50.0,489,350,1500,2026-06-07,Aggressive Driver,Bombay
131,MATT66GG14AFFL131,Harrier.ev,AWD (75 kWh),75.0,LFP,291.0,504,AWD,SUV,Midsize SUV,2025,7.2,120.0,622,460,1950,2025-12-03,Conservative Driver,Mumbai
